# VCP -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 408 headwords that LOOK like misspellings but which VCP records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS VCP.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the VCP entry text

# ===== VARIA-LECTIO (2) =====
suraRadI       -> suranadI       | {{Lbody=46554}}  (redirect -> suranadI)
sutanU         -> sutanu         | {{Lbody=46361}}  (redirect -> sutanu)
svaDitI        -> svaDiti        | {{Lbody=47538}}  (redirect -> svaDiti)
tanUruw        -> tanuruw        | {{Lbody=22040}}  (redirect -> tanuruw)
tribali        -> trivali        | {{Lbody=23727}}  (redirect -> tribalI)
trowI          -> trowi          | {{Lbody=23934}}  (redirect -> trowi)
tulApragrAha   -> tulApragraha   | {{Lbody=23081}}  (redirect -> tulApragraha)
udvAhu         -> udbAhu         | {{Lbody=9274}}  (redirect -> udbAhu)
upakvARa       -> upakvaRa       | {{Lbody=9460}}  (redirect -> upakvaRa)
uqUpati        -> uqupati        | {{Lbody=8734}}  (redirect -> uqupati)
vARaliNga      -> bARaliNga      | {{Lbody=35479}}  (redirect -> bARaliNga)
vEbaDika       -> vEvaDika       | {{Lbody=42549}}  (redirect -> vEvaDika)
vaDUtsava      -> baDUtsava      | {{Lbody=35256}}  (redirect -> baDUtsava)
vadarAmalaka   -> badarAmalaka   | {{Lbody=35232}}  (redirect -> badarAmalaka)
vadarIcCadA    -> badarIcCadA    | {{Lbody=35235}}  (redirect -> badarIcCadA)
vadaraPalI     -> badaraPalI     | {{Lbody=35230}}  (redirect -> badaraPalI)
vadaravallI    -> badaravallI    | {{Lbody=35231}}  (redirect -> badaraballI)
vadarikASrama  -> badarikASrama  | {{Lbody=35233}}  (redirect -> badarikASrama)
vahu           -> bahu           | {{Lbody=35385}}  (redirect -> bahu)
vahuDA         -> bahuDA         | {{Lbody=35403}}  (redirect -> bahuDA)
vahuDAra       -> bahuDAra       | {{Lbody=35404}}  (redirect -> bahuDAra)
vahuPala       -> bahuPala       | {{Lbody=35415}}  (redirect -> bahuPala)
vahuSAla       -> bahuSAla       | {{Lbody=35449}}  (redirect -> bahuSAla)
vahuSalya      -> bahuSalya      | {{Lbody=35447}}  (redirect -> bahuSalya)
vahuSas        -> bahuSas        | {{Lbody=35448}}  (redirect -> bahuSas)
vahuSiKA       -> bahuSiKA       | {{Lbody=35450}}  (redirect -> bahuSiKA)
vahudugDa      -> bahudugDa      | {{Lbody=35402}}  (redirect -> bahudugDa)
vahuganDa      -> bahuganDa      | {{Lbody=35393}}  (redirect -> bahuganDa)
vahugranTi     -> bahugranTi     | {{Lbody=35395}}  (redirect -> bahugranTi)
vahukaRwA      -> bahukaRwA      | {{Lbody=35388}}  (redirect -> bahukaRwA)
vahukaRwaka    -> bahukaRwaka    | {{Lbody=35387}}  (redirect -> bahukaRwaka)
vahukanda      -> bahukanda      | {{Lbody=35389}}  (redirect -> bahukanda)
vahukarRikA    -> bahukarRikA    | {{Lbody=35391}}  (redirect -> bahukarRikA)
vahulIkfta     -> bahulIkfta     | {{Lbody=35437}}  (redirect -> bahulIkfta)
vahula         -> bahula         | {{Lbody=35432}}  (redirect -> bahula)
vahulacCada    -> bahulacCada    | {{Lbody=35434}}  (redirect -> bahulacCada)
vahumaYjarI    -> bahumaYjarI    | {{Lbody=35419}}  (redirect -> bahumaYjarI)
vahumala       -> bahumala       | {{Lbody=35420}}  (redirect -> bahumala)
vahupAd        -> bahupAd        | {{Lbody=35409}}  (redirect -> bahupAda)
vahupAda       -> bahupAda       | {{Lbody=35409}}  (redirect -> bahupAda)
vahuparRa      -> bahuparRa      | {{Lbody=35408}}  (redirect -> bahuparRa)
vahupattra     -> bahupattra     | {{Lbody=35407}}  (redirect -> bahupattra)
vahupraja      -> bahupraja      | {{Lbody=35412}}  (redirect -> bahupraja)
vahuputra      -> bahuputra      | {{Lbody=35410}}  (redirect -> bahuputra)
vahupuzpa      -> bahupuzpa      | {{Lbody=35411}}  (redirect -> bahupuzpa)
vahurUpa       -> bahurUpa       | {{Lbody=35429}}  (redirect -> bahurUpa)
vahuroman      -> bahuroman      | {{Lbody=35431}}  (redirect -> bahuroman)
vahusAra       -> bahusAra       | {{Lbody=35457}}  (redirect -> bahusAra)
vahusUti       -> bahusUti       | {{Lbody=35460}}  (redirect -> bahusUti)
vahusravA      -> bahusravA      | {{Lbody=35461}}  (redirect -> bahusravA)
vahusutA       -> bahusutA       | {{Lbody=35458}}  (redirect -> bahusutA)
vahutiTa       -> bahutiTa       | {{Lbody=35399}}  (redirect -> bahutiTa)
vahutra        -> bahutra        | {{Lbody=35400}}  (redirect -> bahutra)
vahutvac       -> bahutvac       | {{Lbody=35401}}  (redirect -> bahutvac)
vahutvakka     -> bahutvakka     | {{Lbody=35401}}  (redirect -> bahutvac)
vahuvAraka     -> bahuvAraka     | {{Lbody=35440}}  (redirect -> bahuvAraka)
vahuvIja       -> bahuvIja       | {{Lbody=35443}}  (redirect -> bahuvIja)
vahuvalka      -> bahuvalka      | {{Lbody=35439}}  (redirect -> bahuvalka)
vahuvrIhi      -> bahuvrIhi      | {{Lbody=35445}}  (redirect -> bahuvrIhi)
vahvfc         -> bahvfc         | {{Lbody=35466}}  (redirect -> bahvfc)
vahvfca        -> bahvfca        | {{Lbody=35466}}  (redirect -> bahvfc)
vfhacCravas    -> bfhacCravas    | {{Lbody=35708}}  (redirect -> bfhacCravas)
