# PW -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 255 headwords that LOOK like misspellings but which PW records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS PW.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the PW entry text

# ===== WRONG-READING (95) =====
prAgalBa       -> pragalBa       | {#prAgalBa#} n. SĀH. D. 133 fehlerhaft für {#prAgalBya#}.
prahAna        -> prahARa        | {#prahAna#} und {#prahAni#} fehlerhaft für {#prahARa#} und {#prahARi#}.
pratIsIrA      -> pratisIrA      | *{#pratIsIrA#} f. 245,27 Druckfehler für {#prati˚#}.
pratyavaBAza   -> pratyavaBAsa   | {#pratyavaBAza#} oder {#˚zA#} UTTARAR. 27,14 fehlerhaft für {#˚BAsa#}.
raNGanATa      -> raNganATa      | {#raNGanATa#} fehlerhaft für {#raNganATa#} 2〉.
sArUpa         -> sarUpa         | {#sArUpa#} KĀM. NĪTIS. 4,54. 61 fehlerhaft für {#sAnUpa#}.
saMbalana      -> saMvalana      | {#saMbalana#} n. fehlerhaft für {#saMvanana#}.
sanAlI         -> samAlI         | *{#sanAlI#} f. {%Kupplerin%} GAL. Vielleicht nur fehlerhaft für {#SamBalI#}.
santva         -> sAntva         | {#santva/#} n. Nom. abstr. von {#sam#}. Auch fehlerhaft für {#Santva/#}.
satyasravas    -> satyaSravas    | {#satyasravas#} m. N. pr. eines Lehrers VP. 23,45. wohl nur fehlerhaft für {#˚Sravas#}.
suBra          -> SuBra          | {#suBra#} Adj. MBH. 8,17 fehlerhaft für {#SuBra#}.
supaWa         -> supaTa         | {#supaWa#} Adj. (f. {#A#}) {%leicht zu lesen, gut lesbar%} NAIṢ. 6,77.
trihAyana      -> trihAyaRa      | {#trihAyana#} Adj. (f. {#I#}) fehlerhaft für {#trihAyaRa#} MBH. 4,51,2. 7,36,9.
upAstaraRa     -> upastaraRa     | {#upAstaraRa#} n. KĀTY. ŚR. 9,9,24. Druckfehler für {#upasta˚#}.
upAyama        -> upAyana        | {#upAyama#} KATHĀS. 13,166 fehlerhaft für {#upAyana#}.
upasAda        -> upasada        | {#upasAda#} PADMAP. 8,19 fehlerhaft für 2. {#upANga#}.
upayana        -> upAyana        | {#upayana#} KATHĀS. 14,31 fehlerhaft für {#upAyana#}.
urmilA         -> UrmilA         | {#urmilA#} f. fehlerhaft für {#UrmilA#}.
utseda         -> utseDa         | {#utseda#} MBH. 1,4364 fehlerhaft für {#utsAda#}.
vARaprasTa     -> vAnaprasTa     | {#vARaprasTa#} fehlerhaft für {#vAnaprasTa#}.
vAjasa         -> vAjasA         | {#vAjasa#} n. Name eines Sāman. Wohl fehlerhaft für {#vAjasani#}.
vAtarasana     -> vAtaraSana     | {#vAtarasana#} fehlerhaft für {#˚raSana#}.
vaNkU          -> vaNku          | {#vaNkU#} MBH. 2,1846 fehlerhaft für {#vaNGu#}, wie {{‹wie ed.› Vardh.->MBH. ed. Vardh.||20160103|Dhaval Patel, Jim Funderburk.|https://github.com/sanskrit-lexi
varzarAtra     -> varzArAtra     | {#varzarAtra#} (R. ed. Bomb. 1,3,24) und {#˚rAtri#} (R. ed. SCHL.) fehlerhaft für {#varzA˚#}.
vetAna         -> vEtAna         | {#vetAna#} RĀJAT. 6,4 fehlerhaft für {#vetana#}.
vfzaRASva      -> vfzaRaSva      | *{#vfzaRASva#} m. fehlerhaft für {#vfzaRaSva#} 2〉b〉.
viSoQa         -> visoQa         | {#viSoQa#} KATHĀS. 46,12 fehlerhaft für {#visoQa#} (von {#sah#} mit {#vi#}).
viSraMsana     -> visraMsana     | {#viSraMsana#} fehlerhaft für {#visraMsana#}.
vihewaka       -> viheWaka       | {#vihewaka#} MBH. 1,3076 fehlerhaft für {#viheWaka#}.
vimarDa        -> vimarda        | {#vimarDa#} m. MBH. 3,631 fehlerhaft für {#vimarda#}.
visahya        -> vizahya        | {#visahya#} fehlerhaft für {#vizahya#}.
vizwarasravas  -> vizwaraSravas  | {#vizwarasravas#} fehlerhaft für {#˚Sravas#}.
yapya          -> yApya          | {#yapya#} n. BHĀR. NĀṬYAŚ. 20,22 wohl fehlerhaft für {#japya#}.

# ===== VARIA-LECTIO (38) =====
SaRqikA        -> SaRqika        | {#SaRqikA#} f. MBH. 14,9,29. v. l. nach NĪLAK. = {#yudDa#} in der Sprache der Draviḍa.
SiroDAman      -> SirodAman      | {#SiroDAman#} n. {%Kopfende%} (eines Bettes) KĀD. 18,19. 20. v. l. {#SiroBAga#}.
Sitapuzpa      -> SItapuzpa      | *{#Sitapuzpa#} n. {%Cyperus rotundus%}. v. l. {#sita˚#}.
aSamya         -> aSAmya         | {#aSamya#} Adj. = {#arUkza#} Cit. im Comm. zu TS. II,694 und zu NYĀYAM. 4,1,28. {#asavya#} v. l.
asaMDita       -> asaMdita       | {#asaMDita#} M. 8,342 schlechte Lesart für {#asaMdita#}.
avanta         -> Avanta         | {#avanta#} m. N. pr. eines Sohnes des Dhṛṣṭa HARIV. 1,36,25. {#Avanta#} v. l.
awwawwahAsa    -> awwAwwahAsa    | {#awwawwahAsa#} m. {%lautes lachen%} MĀRK. P. 89,21. {#awwAwwa˚#} v. l.
baDna          -> vaDna          | {#baDna#} m. Pl. N. pr. eines Volkes MBH. 6,363. {#vaDra#} v. l.
cIvillikA      -> civillikA      | *{#cIvillikA#} f. v. l. für {#ci˚#} RĀJAN. 5,74.
cattra         -> Cattra         | {#cattra#} n. v. l. für {#cAttra#}.
dARqaka        -> daRqaka        | {#dARqaka#} m. N. pr. eines Bhoja. {#dARqakya#} v. l.
dAtta          -> datta          | *{#dAtta#} m. {%ein von%} Datta {%angelegter Brunnen%} KĀŚ. zu P. 4,2,74. {#dAnta#} v. l.
dfzwaraTa      -> DfzwaraTa      | {#dfzwaraTa#} m. N. pr. eines Fürsten MBH. 13,166,50. {#DfzwaraTa#} v. l.
durgAla        -> durgala        | {#durgAla#} m. Pl. N. pr. eines Volkes MBH. 6,9,52. {#durgala#} v. l.
durvala        -> durbala        | {#durvala#} Adj. {%hautkrank%} (KULL.) M. 3,151. {#durvAla#} v. l.
hemavata       -> hEmavata       | *{#hemavata#} n. schlechte v. l. für {#hEmavata#} {%Perle%} RĀJAN. 13,153.
jAlapada       -> jAlapAda       | *{#jAlapada#} N. pr. einer Oertlichkeit (davon ein gleichlautendes Adj.) gaṇa {#varaRAdi#} in der KĀŚ. v. l. {#˚padI#}. Dieses auch *Adj. f. {%eine Schwimmhaut 
kAlikApUrva    -> kalikApUrva    | {#kAlikApUrva#} n. = {#paramApUrvajanakamapUrvam#} ({#yaTotpattyapUrvARi#}). NY. K. 76. {#kalikA˚#} v. l.
kalaya         -> kalAya         | {#kalaya#} m. {%Hahn%} BHĀVAPR. 2,8. {#kalaja#} v. l.
kuwuka         -> kutuka         | {#kuwuka#} m. {%ein best. Baum%} KAUŚ. 8. {#kuwaka#} v. l.
niScira        -> niScirA        | {#niScira#} N. pr. — 1〉 m. eines Ṛṣi im 2ten Manvantara. [Page3-224-a] {#niScara#} v. l. — 2〉 f. {#A#} eines Flusses.
nilaNgu        -> nIlaNgu        | {#ni/laNgu#} m. {%ein best. Gewürm%} TS. 5,5,11,1 v. l. für {#nI/laNgu#}.
pAdasTa        -> padasTa        | {#pAdasTa#} Adj. HARIV. 2,118,59 angeblich = {#citraPalakasTa#} Richtig v. l. {#pawwasTa#}.
pukkaza        -> pukkaSa        | *{#pukkaza#} m. v. l. für {#pukkaSa#}.
quRquka        -> duRquka        | *{#quRquka#} v. l. für {#wuwuka#}.
sAhajit        -> sahajit        | {#sAhajit#} m. v. l. für {#sAhaYji#} VP.² 5,54.
sAlivAhana     -> SAlivAhana     | {#sAlivAhana#} m. v. l. {%für%} {#sAtavAhana#} u. s. w. Ind. St. 15,404.
saMDyAMsa      -> saMDyAMSa      | {#saMDyAMsa#} Adj. {%die Morgen- und Abenddämmerung zu Schultern habend%} MBH. 12,321,25, v. l.
saMvADa        -> saMvAda        | {#saMvADa#} m. schlecht Lesart für {#saMbADa#}.
sadASva        -> sadaSva        | {#sadASva#} m. N. pr., v. l. für {#sadaSva#} 〔24,141〕.
spASa          -> spaSa          | {#spASa#} (!) m. PAÑCAT. ed. Bomb. 3,59,3 v. l. für {#spaSADyakza#}.
svopaSa        -> svOpaSa        | {#svopaSa/#} Adj. (f. {#A/#}) {%mit schönen Flechten oder Locken%} MAITR. S. 2,7,5 (80,9). v. l. {#svOpaSa/#}.
udArAkza       -> udarAkza       | {#udArAkza#} m. N. pr. eines Krankheitsdämons MBH. 9,45,63. {#udarAkza#} v. l.
udayAna        -> udayana        | *{#udayAna#} m. v. l. für {#udapAna#} 2〉 KĀŚ.
vArzma         -> varzma         | {#vArzma#} m. Patron. v. l. für {#vArzRa#} ŚAT. BR. 14,6,10,8 in der KĀṆVA-REC.
vamaka         -> vAmaka         | {#vamaka#} m. N. pr. eines der 7 Ṛṣi im 4ten Manvantara VP. 3,1,18. v. l. {#vanaka#} u. s. w.
vikriqa        -> vikrIqa        | {#vikriqa#} Adj. als Bez. Rudraʼs MAITR. S. 2,9,9 [Page6-080-a] (128,3), v. l.
vyapayana      -> vyapayAna      | {#vyapayana#} n. {%das Verschwinden, Aufhören%}. v. l. {#vyapanaya#}.

# ===== IN-COMPOSITION (18) =====
SItaparRi      -> SItaparRI      | {#SItaparRi#} (metrisch) und *{#˚parRI#} f. {%Gynandropsis pentaphylla%}.
SataGni        -> SataGnI        | {#SataGni#} f. metrisch für {#SataGnI#} HARIV. 13094. VARĀH. YOGAY. 6,26. BHĀG. P. 9,15,30.
brAhmaRIka     -> brAhmaRika     | {#brAhmaRIka#} am Ende eines adj. Comp. (f. {#I#}) von *{#brAhmaRI#} {%Brahmanenfrau%}.
devakinandana  -> devakInandana  | {#devakinandana#} (metrisch) m. = {#devakI˚#}.
kOmudIka       -> kOmudika       | {#kOmudIka#} am Ende eines adj. Comp. von {#kOmudI#} 3〉a〉.
kfzRAzwami     -> kfzRAzwamI     | {#kfzRAzwami#} (metrisch) f. = {#˚mI#} 1〉. {#˚rata#} Adj. Beiw. Śivaʼs MBH. 13,14,290.
kumBi          -> kumBI          | {#kumBi#} (metrisch) f. = {#kumBI#} {%Topf%} CARAKA. 1,14.
likza          -> likzA          | {#likza#} (metrisch) m. oder n. und {#likzA#} f. {%Niss, das Ei einer Laus%} RĀJAN. 19,133. Auch als {%best. Maass%}.
mADuri         -> mADurI         | {#mADuri#} (metrisch) f. = {#mADura#} 2〉b〉 BHOJA-PR. 65,2.
mfttika        -> mfttikA        | {#mfttika#} (metrisch im Comp.) und {#mf/ttikA#} f. — 1〉 {%Lehm, Thon%}. — 2〉 f. {#mfttikA#} {%Alaunschiefer%} RĀJAN. 13,63.
nadija         -> nadIja         | *{#nadija#} (metrisch) m. {%Lablab vulgaris%} RĀJAN. 16,69.
nirguRqi       -> nirguRqI       | {#nirguRqi#} (metrisch) und {#˚RqI#} f. — 1〉 {%Vitex negundo%}. — 2〉 *{#˚RqI#} {%Lotuswurzel%}.
paSuka         -> pASuka         | {#paSuka#} — 1〉 am Ende eines Comp. = {#paSu#} {%Vieh%} in {#eka˚#} — 2〉 {#A#} {%Kleinvieh%} R. ed. Bomb. 2,32,18.
poTaki         -> poTakI         | {#poTaki#} (metrisch) und {#˚kI#} f. {%best. Geschwüre an den Augenlidern%}.
