# MW -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 630 headwords that LOOK like misspellings but which MW records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS MW.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the MW entry text

# ===== WRONG-READING (45) =====
CandaS         -> Candas         | CandaS  = ˚das.
Cikkika        -> CikkikA        | Cikkika  mfn. sneezing, W. || Cikkika  See ˚kkana.
DAyin          -> dAyin          | DAyin  See amfta-D˚ (add.)
DruvakA        -> Druvaka        | DruvakA  f. (in music) = DruvA f. (cf. DuvakA) || N. of a woman g. bAhv-Adi.
Dvajahfta      -> DvajAhfta      | Dvaja—hfta  mfn. = ˚jAhfta, L.
GAwala         -> GAwAla         | GAwala  See ˚wAla.
GanArava       -> Ganarava       | GanArava  m. (= ˚na-r˚) the bird Cātaka, Gal.
GawIkara       -> GawIkAra       | GawI—kara  m. = -kAra, Divyāv.
GozAdI         -> gozAdI         | GozAdI/  See go-zAdI/. || Go˚zAdI/  &c. See ib.
IrRa           -> Irma           | IrRa  mfn. See ud-IrRa.
JampA          -> Jampa          | JampA  f. of ˚pa, q.v.
KaRqIka        -> KaRqika        | KaRqIka  m. See ˚Rqika.
OqavA          -> Oqava          | OqavA  f. a particular Rāgiṇī q.v. (cf. oqava.)
SAmbava        -> SAmBava        | SAmbava  m. (fr. Sambu) See next.
SUpakAra       -> sUpakAra       | SUpa-kAra  See sUpa-kAra.
SUrpanaKA      -> SUrpaRaKA      | SUrpa—naKA  See -RaKA, ˚KI.
SaNKiRI        -> SaNKinI        | SaNKiRI  f. See next.
SamBara        -> Sambara        | Sam—Bara  m. N. of a man (cf. SAmBara).
Sasitf         -> SAsitf         | Sasi˚tf  See vi-S˚.
SiMhARaka      -> siMhARaka      | SiMhA˚Raka  See SiNGARa &c.
SilABAva       -> SilABava       | SilA—BAva  m. = -tva, Kathās.
SilpakarI      -> SilpakArI      | Silpa—ka˚rI  f. = -kAra, ˚rI, MW.
Sriv           -> sriv           | Sriv  See √ sriv.
SroRibimba     -> SroRivimba     | SroRi—bimba  n. round hips (see bimba), Kālid. || a waist-band (= kawi-sUtra), L.
SumBAna        -> SumBana        | Su/mBAna  See √ 1. SuB, p. 1083, col. 1.
SvaDiti        -> svaDiti        | SvaDiti  see svaD˚, p. 1280.
UrDvatA        -> UrDvaTA        | UrDva—tA  f. = -tva below.
aBIcAra        -> aBicAra        | aBI-cAra  m. exorcising, incantation, Āp. || aBI-cAra  See aBi-√ car.
aBIpAda        -> aBIpada        | aBI-pAda or aBI-pada  See 1. a-BI.
aSvArohA       -> aSvAroha       | aSvArohA  f. = aSva-ganDA, q.v., L.
aSvaBAra       -> aSvavAra       | aSva—BAra  m. the load of a horse, (g. vaMSAdi, q.v.)
abdA           -> abda           | a/b-dA/  f., see abdayA/ below.
akzanvat       -> akzaRvat       | akzan-vat  see akzaR-vat.
alolA          -> alola          | a-lolA  f. (also lolA, q.v.), N. of a metre (containing four lines, each of fourteen syllables).
anvetave       -> anvetavE       | a/nv-etave  &c. See anv-√ i.
anyarAzwriya   -> anyarAzwrIya   | anya—rAzwriya  mfn. (= ˚wrIya), Kāṭh.
apAmitya       -> apamitya       | apA-mi/tya  n. (cf. apa-mi/tya), equivalent, MaitrS.
arAlA          -> arAla          | arAlA  f. (g. bahv-Adi, q.v.) a disloyal or unchaste woman, L. || a modest woman, L.
arAlI          -> arAli          | arAlI  f. (g. bahv-Adi, q.v.) a disloyal or unchaste woman, L. || a modest woman, L.
araRyakarpAsI  -> araRyakArpAsI  | araRya—karpAsI  f. = -kApAsI below.
asaMDita       -> asaMdita       | a-saMDita  mfn. for a-saMdita, q.v. (NBD.)
atiSvA         -> atiSva         | ati-SvA  m. N. of a tribe (?), (g. pakzAdi, q.v.)
avamanya       -> avamAnya       | ava-manya  ind.p. = -matya, MBh. v, 7533; xvi, 73 and 75.
avarya         -> avArya         | avarya  Nom. P. ˚ryati, to become lower, (g. kaRqv-Adi, q.v.)
avat           -> Avat           | a/vat  mfn. pr. p. See √ av.
ayAva          -> ayava          | 1. a/-yAva, as, or a/-yAvan, A,  m. id., TS. || 2. a-yAva  mfn. not made of barley, KātyŚr. || 1. and 2. a-yAva .  See 1. and 2. a-yava.
ayAvan         -> ayavan         | {{Lbody=14755}} || a/-yAvan  See 1. a-yava.
azwAdiS        -> azwadiS        | azwA—diS  f. pl. = azwaqiS, q.v., Hcat.
azwakapAla     -> azwAkapAla     | azwa—kapAla  mfn. = azwA/-kap˚, q.v., Pāṇ. vi, 3, 46 Comm.
bAsteya        -> vAsteya        | bAsteya  see vAsteya.
bahAdura       -> bAhAdura       | bahAdura  See bAhAdura.
bastya         -> vastya         | bastya  See vA/ja-bastya.
binda          -> vinda          | binda  See kusuru-bi/nda.
bopadeva       -> vopadeva       | bopadeva  See vopadeva.
brUs           -> vrUs           | brUs  (see vrUs).
cEtayata       -> cEwayata       | cEtayata  (fr. cetayat) See cEkay˚.
caRqika        -> caRqikA        | caRqika  mfn. (= ˚qa) circumcised, Gal.
cakrAhvA       -> cakrAhva       | cakrAhvA  f. See ˚krANkA.
cakraDAra      -> cakraDara      | cakra—DAra  for -Dara, q.v.
canDana        -> candana        | canDana  See cAnDanAyana.
candramasa     -> cAndramasa     | candra—˚masa  See ava-
carATa         -> caraTa         | carA/Ta  n. See ˚ra/Ta. || carA/Ta  &c. See ib.
carawI         -> cArawI         | carawI  f. (= ˚raRwI, cirawI, ciraRwI) a woman married or single who after maturity resides in her father's house, L., Sch.
caturaNgA      -> caturaNga      | ca/tur—aNgA  f. (scil. senA) = ˚Nga-bala, AV.Pariś.
cintitA        -> cintita        | cintitA  f. See cEntita.
dAvat          -> DAvat          | dAvat  See prARa-.
dEvanirmita    -> devanirmita    | dEva—nirmita  mfn. = -krita, MBh.
dIkzaRIyA      -> dIkzaRIya      | dIk˚zaRI/yA  f. (Vait.) = ˚yezwi f. the sacrifice of consecration or initiation, Br.; ŚrS.
dUragA         -> dUraga         | dUra—gA  mfn. = -ga, TāṇḍyaBr.
dantASlizwa    -> dantaSlizwa    | dantASlizwa  mfn. = ˚ta-S˚, Mn. v, 141; Kull.
diDIzu         -> diDizu         | diDIzu  f. = diDizU, L. See diDizu
duHzparSa      -> duHsparSa      | duH—zparSa  See -sparSa.
duScyAvana     -> duScyavana     | duS—cyA˚vana  mfn. shaking the unshaken, MBh. viii, 1506 = -cyavana, W.
durhanA        -> durhaRA        | dur—hanA  &c. See haRA.
durvala        -> durbala        | dur—vala  See bala.
gOkakzyA       -> gOkakzya       | gOkakzyA  f. g. krOqy-Adi. || gOkakzyA  f. of ˚kzya, q.v.
gaDita         -> gadita         | ga/Dita  mfn., Naigh. iv, 2 (cf. A/-, pa/ri-.)
gaReruka       -> gaRerukA       | gaReruka  m. (= ˚ru) Pterospermum acerifolium, L.
gaRitA         -> gaRita         | gaRitA  f. of ˚ta, q.v.
